district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std,source_year,planning_room_id,planning_room_name,prediction_area_id,prediction_area_name
81005.0,Köllnische Heide,2466,2239,1805,36,90,102,1682,27,754,24,649.58,614.5,171.14,559.1,548.0,99.24,592.77,573.0,120.44,655.67,606.0,180.09,766.94,721.66,166.93,882.83,832.0,293.44,2020,,,,
82006.0,Britz Nord,2867,2606,2156,57,133,100,1952,49,1196,41,597.16,553.0,185.6,510.67,492.0,167.31,583.74,574.0,144.06,686.86,633.5,221.51,780.25,755.51,155.93,878.81,684.0,424.27,2020,,,,
82007.0,Britz,3283,3049,2582,67,96,98,2366,34,1248,29,621.91,587.0,190.21,494.41,502.0,89.45,633.36,599.5,167.15,781.86,700.0,249.62,783.81,741.86,150.11,918.66,825.5,336.56,2020,,,,
82008.0,Buckow,2923,2740,2262,51,69,76,2030,17,801,10,673.21,637.0,179.73,549.41,560.0,113.69,726.41,700.0,180.0,874.04,838.5,213.21,910.36,868.77,128.03,856.85,806.5,279.4,2020,,,,
83009.0,Gropiusstadt West,2720,2559,2050,60,80,61,1811,27,1089,19,600.25,532.0,226.26,459.15,442.5,91.47,690.57,675.5,276.64,839.26,802.0,211.7,871.49,859.9,103.9,665.73,547.5,258.53,2020,,,,
83010.0,Gropiusstadt Ost,2648,2490,1972,41,86,48,1793,23,1075,21,611.58,560.0,205.99,534.06,524.0,147.93,582.34,547.5,124.35,827.23,823.0,127.35,808.79,791.43,88.24,873.0,783.5,383.45,2020,,,,
84011.0,Buckow Nord,2097,1153,929,28,53,36,844,40,554,34,562.73,508.0,220.74,425.5,418.5,87.33,601.25,593.0,145.43,698.09,662.5,165.35,781.53,780.16,107.69,731.11,686.0,337.86,2020,,,,
84012.0,Rudow,4567,4300,3491,105,108,107,3053,36,1709,29,613.04,574.0,196.7,530.38,528.5,123.25,620.58,600.5,167.78,796.34,786.5,136.68,793.79,755.43,161.79,819.84,778.0,327.37,2020,,,,
91001.0,Alt-Treptow,1695,1543,1351,26,75,58,1215,27,570,25,644.22,612.0,178.98,531.96,494.0,153.75,644.05,600.0,145.15,750.83,710.0,184.62,732.33,702.77,120.59,1079.12,1105.0,358.48,2020,,,,
91002.0,Plänterwald,1439,1311,1097,25,55,54,1019,32,201,24,712.12,684.0,164.99,648.18,652.5,67.76,677.54,648.0,121.26,744.03,714.5,129.75,812.48,771.79,176.09,1031.4,1007.0,248.56,2020,,,,
91003.0,Baumschulenweg,2583,2409,1977,49,58,82,1818,24,834,21,650.24,612.0,186.5,549.31,523.5,94.1,581.47,569.0,121.87,732.0,727.0,149.61,749.23,749.64,117.23,840.92,754.0,319.56,2020,,,,
91004.0,Johannisthal,2440,2271,1891,45,85,66,1709,24,1076,24,581.16,546.0,191.08,466.67,457.0,105.72,562.11,514.0,216.91,681.48,615.5,294.85,650.8,666.71,85.56,685.25,584.0,270.57,2020,,,,
92005.0,Oberschöneweide,3112,2854,2333,54,106,110,2118,33,979,27,653.61,613.5,193.91,569.65,521.0,154.14,677.06,645.0,202.5,696.91,660.5,136.1,769.0,733.31,170.86,804.88,733.0,312.95,2020,,,,
92006.0,Niederschöneweide,2183,2036,1711,36,49,73,1566,12,827,11,619.02,588.5,189.99,491.12,433.5,128.34,603.95,605.0,173.11,704.2,671.5,219.03,727.16,747.29,117.25,742.12,698.0,218.17,2020,,,,
92007.0,Adlershof,2444,2232,1838,24,94,94,1655,46,771,39,628.45,611.0,167.26,546.2,558.5,83.69,592.75,602.5,78.56,683.63,667.0,98.64,766.02,733.55,150.38,816.7,788.0,211.43,2020,,,,
92008.0,Köllnische Vorstadt/Spindlersfeld,1252,1150,979,18,33,50,874,7,539,5,593.85,560.5,183.37,522.93,525.0,148.4,611.52,561.0,245.84,766.78,705.0,316.11,838.8,796.83,205.37,728.53,666.0,251.11,2020,,,,
